ugc,type,name,state
KYZ071,public,Warren,KY
KYZ072,public,Simpson,KY
KYZ073,public,Allen,KY
KYZ074,public,Barren,KY
KYZ075,public,Monroe,KY
KYZ076,public,Metcalfe,KY
KYZ077,public,Adair,KY
KYZ078,public,Russell,KY
KYZ079,public,Pulaski,KY
KYZ080,public,Laurel,KY
KYZ081,public,Cumberland,KY
KYZ082,public,Clinton,KY
KYZ083,public,Wayne,KY
KYZ084,public,McCreary,KY
KYZ085,public,Whitley,KY
KYZ086,public,Knox,KY
KYZ087,public,Bell,KY
KYZ088,public,Harlan,KY
KYZ089,public,Carroll,KY
KYZ090,public,Gallatin,KY
KYZ091,public,Boone,KY
KYZ092,public,Kenton,KY
KYZ093,public,Campbell,KY
KYZ094,public,Owen,KY
KYZ095,public,Grant,KY
KYZ096,public,Pendleton,KY
KYZ097,public,Bracken,KY
KYZ098,public,Robertson,KY
KYZ099,public,Mason,KY
KYZ100,public,Lewis,KY
KYZ101,public,Greenup,KY
KYZ102,public,Carter,KY
KYZ103,public,Boyd,KY
KYZ104,public,Elliott,KY
KYZ105,public,Lawrence,KY
KYZ106,public,Morgan,KY
KYZ107,public,Johnson,KY
KYZ108,public,Wolfe,KY
KYZ109,public,Magoffin,KY
KYZ110,public,Floyd,KY
KYZ111,public,Lee,KY
KYZ112,public,Breathitt,KY
KYZ113,public,Knott,KY
KYZ114,public,Owsley,KY
KYZ115,public,Perry,KY
KYZ116,public,Clay,KY
KYZ117,public,Leslie,KY
KYZ118,public,Letcher,KY
KYZ119,public,Martin,KY
KYZ120,public,Pike,KY
